pk,age,sex,geoid,ii_1,ii_2,ii_3,tm_2_no_hisp_lat_orgn,tm_2_yes_mex_am_chicano_orgn,tm_2_yes_puerto_rican,tm_2_yes_cuban_origin,tm_2_yes_anthr_hisp_lat_spn_origin,tm_3_amrcn_indn_alsk_ntv,tm_3_asian,tm_3_blck_afrcn_amrcn,tm_3_hwan_other_pcfc_islander,tm_3_white,tm_3_other,tm_4,tm_5,tm_6,cn_hs_1,cn_hs_2_bug_infestation,cn_hs_2_mold,cn_hs_2_lead_paint_pipes,cn_hs_2_inadq_heat,cn_hs_2_oven_not_wkg,cn_hs_2_smoke_det_not_wkg,cn_hs_2_water_leaks,cn_hs_2_none_of_the_above,cn_fd_1,cn_fd_2,cn_tr_1,cn_ut_1,cn_sf_1,cn_sf_2,cn_sf_3,cn_sf_4,sn_ff_2
1693,16,F,080770008002,MYSELF,ZERO,NONE_OF_THE_ABOVE,,,,,,,,,,,,"",5,MORE_THN_35_LESS_THEN_50K,STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,NEVER,RARELY,NEVER,RARELY,RARELY
17133,11,M,080770008002,MY_CHILD,ZERO,NONE_OF_THE_ABOVE,,,,,,,,,,,,"",4,MORE_THN_25_LESS_THEN_35K,STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,NEVER,NEVER,NEVER,NEVER,NEVER
14290,13,F,080770008002,OTHER,ONE,NONE_OF_THE_ABOVE,,,,,,,,,,,,"","","","",,,,,,,,,"","","","","","","","",""
7826,51,M,080770008002,MYSELF,ZERO,NONE_OF_THE_ABOVE,,,,,,0,0,0,0,1,0,CLG_4,"","",STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,NEVER,NEVER,NEVER,NEVER,NEVER
12867,10,F,080770008002,OTHER,ZERO,NONE_OF_THE_ABOVE,,,,,,,,,,,,"",5,"",STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,NEVER,NEVER,NEVER,NEVER,NEVER
2848,40,M,080770008002,MYSELF,ZERO,NONE_OF_THE_ABOVE,,,,,,,,,,,,"",3,MORE_THN_20_LESS_THEN_25K,STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,SMTM_TRUE,NO,NO,NEVER,RARELY,NEVER,NEVER,FRLY_OFTN
3903,4,M,080770008002,OTHER,ONE,NONE_OF_THE_ABOVE,,,,,,,,,,,,"","","",STDY_HSNG,,,,,,,,,NEVER_TRUE,NEVER_TRUE,NO,NO,"","","","",""
46,4,M,080770008002,MY_CHILD,ZERO,NONE_OF_THE_ABOVE,,,,,,,,,,,,"",4,MORE_THN_20_LESS_THEN_25K,STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,NEVER,NEVER,NEVER,NEVER,NEVER
13913,29,F,080770008002,OTHER,TWO_OR_MORE,NONE_OF_THE_ABOVE,,,,,,,,,,,,"","","",STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,"","","","",""
3274,3,F,080770008002,OTHER,TWO_OR_MORE,NONE_OF_THE_ABOVE,,,,,,,,,,,,"","","",STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,"","","","",""
6539,49,F,080770008002,MYSELF,ZERO,NONE_OF_THE_ABOVE,,,,,,,,,,,,"",2,MORE_THN_25_LESS_THEN_35K,STDY_HSNG,1,0,0,0,0,1,0,0,NEVER_TRUE,NEVER_TRUE,NO,NO,NEVER,RARELY,NEVER,RARELY,NEVER
10235,3,F,080770008002,MY_CHILD,ONE,YES_ONE_OF_THE_ABOVE,,,,,,,,,,,,"",4,MORE_THN_10_LESS_THEN_15K,STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,NEVER,NEVER,NEVER,NEVER,NEVER
18575,3,F,080770008002,MY_CHILD,ZERO,NONE_OF_THE_ABOVE,,,,,,,,,,,,"",2,MORE_THN_50_LESS_THEN_75K,STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,NEVER,NEVER,NEVER,NEVER,NEVER
15364,61,M,080770008002,MYSELF,ZERO,NONE_OF_THE_ABOVE,,,,,,,,,,,,"","","",STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,NEVER,NEVER,NEVER,NEVER,RARELY
9029,3,M,080770008002,OTHER,TWO_OR_MORE,NONE_OF_THE_ABOVE,,,,,,,,,,,,"","","",STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,"","","","",""
2155,2,M,080770008002,MY_CHILD,ZERO,NONE_OF_THE_ABOVE,,,,,,,,,,,,"",1,MORE_THN_20_LESS_THEN_25K,STDY_HSNG,0,0,0,0,0,0,0,1,NEVER_TRUE,NEVER_TRUE,NO,NO,NEVER,NEVER,NEVER,NEVER,NEVER
